2111	370
2241	2241
2111	370
2241	2241
2111	370
2241	2241
2109	369
2239	2239
2107	368
2237	2237
2107	367
2237	2237
2107	366
2236	2236
2107	366
2236	2236
2108	365
2236	2236
2108	364
2235	2235
2108	363
2235	2235
2108	362
2235	2235
2108	361
2235	2235
2108	361
2234	2234
2108	360
2234	2234
2108	359
2234	2234
2109	358
2234	2234
2109	358
2234	2234
2110	357
2235	2235
2111	355
2235	2235
2111	355
2234	2234
2111	354
2234	2234
2111	353
2234	2234
2111	352
2234	2234
2111	351
2234	2234
2111	350
2233	2233
2111	349
2233	2233
2111	349
2233	2233
2111	348
2233	2233
2111	348
2233	2233
2113	346
2233	2233
2113	345
2233	2233
2113	344
2232	2232
2113	344
2232	2232
2113	343
2232	2232
2113	342
2231	2231
2113	341
2231	2231
2113	340
2231	2231
2113	340
2231	2231
2114	338
2230	2230
2114	338
2230	2230
2114	337
2231	2231
2114	336
2231	2231
2114	336
2231	2231
2116	334
2231	2231
2116	333
2231	2231
2116	332
2231	2231
2116	332
2231	2231
2116	331
2230	2230
2116	330
2230	2230
2116	329
2230	2230
2116	329
2230	2230
2117	327
2229	2229
2117	327
2230	2230
2117	326
2229	2229
2117	325
2229	2229
2117	324
2229	2229
2118	323
2229	2229
2118	322
2228	2228
2118	321
2228	2228
2118	321
2228	2228
2118	320
2228	2228
2118	320
2228	2228
2119	318
2227	2227
2119	317
2227	2227
2119	316
2227	2227
2119	315
2228	2228
2119	315
2227	2227
2119	314
2227	2227
2119	313
2227	2227
2119	313
2227	2227
2121	311
2227	2227
2121	311
2227	2227
2122	309
2227	2227
2122	309
2226	2226
2122	308
2226	2226
2122	307
2226	2226
2122	306
2226	2226
2122	305
2227	2227
2122	305
2226	2226
2123	304
2226	2226
2122	303
2226	2226
2122	303
2225	2225
2123	301
2225	2225
2124	300
2225	2225
2124	299
2225	2225
2124	298
2224	2224
2124	298
2224	2224
2124	297
2224	2224
2124	296
2223	2223
2124	295
2223	2223
2124	294
2224	2224
2124	294
2224	2224
2124	292
2223	2223
2124	291
2223	2223
2124	291
2223	2223
2125	290
2223	2223
2125	290
2223	2223
2127	288
2223	2223
2127	287
2223	2223
2127	286
2223	2223
2127	286
2223	2223
2127	285
2222	2222
2127	284
2223	2223
2127	284
2222	2222
2128	282
2222	2222
2128	281
2222	2222
2128	280
2222	2222
2128	280
2222	2222
2128	279
2222	2222
2129	278
2221	2221
2129	277
2221	2221
2129	276
2220	2220
2129	275
2220	2220
2129	275
2220	2220
2130	274
2220	2220
2130	273
2220	2220
2130	272
2220	2220
2130	271
2220	2220
2130	270
2220	2220
2130	269
2219	2219
2130	269
2219	2219
2130	268
2219	2219
2130	268
2219	2219
2132	266
2219	2219
2132	266
2219	2219
2132	264
2219	2219
2132	264
2219	2219
2133	263
2219	2219
2133	262
2219	2219
2133	261
2219	2219
2133	260
2219	2219
2133	259
2219	2219
2133	259
2218	2218
2133	257
2218	2218
2133	257
2218	2218
2133	256
2217	2217
2134	255
2217	2217
2134	255
2217	2217
2135	253
2217	2217
2135	252
2216	2216
2135	252
2217	2217
2135	251
2217	2217
2135	250
2217	2217
2135	249
2216	2216
2135	249
2216	2216
2136	247
2216	2216
2136	246
2215	2215
2136	246
2215	2215
2136	245
2215	2215
2136	245
2215	2215
2138	243
2215	2215
2138	242
2215	2215
2138	241
2216	2216
2138	241
2216	2216
2138	240
2215	2215
2138	240
2215	2215
2139	238
2215	2215
2138	237
2215	2215
2138	237
2214	2214
2139	235
2214	2214
2139	234
2214	2214
2139	234
2213	2213
2139	233
2213	2213
2140	232
2213	2213
2140	231
2213	2213
2140	230
2213	2213
2140	230
2213	2213
2140	228
2213	2213
2140	228
2213	2213
2141	227
2212	2212
2141	226
2212	2212
2141	225
2212	2212
2141	224
2212	2212
2141	223
2211	2211
2141	223
2211	2211
2141	222
2211	2211
2141	222
2211	2211
2143	220
2211	2211
2143	220
2212	2212
2144	218
2212	2212
2144	217
2212	2212
2144	217
2211	2211
2144	216
2211	2211
2144	215
2211	2211
2144	214
2211	2211
2144	213
2210	2210
2144	213
2210	2210
2145	212
2210	2210
2144	211
2209	2209
2144	211
2209	2209
2146	209
2210	2210
2146	208
2210	2210
2146	207
2210	2210
2146	206
2209	2209
2146	205
2209	2209
2146	205
2209	2209
2146	204
2209	2209
2146	203
2208	2208
2146	202
2208	2208
